Date (DD/MM/YYYY),NAV
27/12/2013,12.3631
30/12/2013,12.3141
31/12/2013,12.3360
01/01/2014,12.3355
02/01/2014,12.1806
03/01/2014,12.1828
06/01/2014,12.1497
07/01/2014,12.0988
08/01/2014,12.1098
09/01/2014,12.1007
10/01/2014,12.1252
13/01/2014,12.3167
15/01/2014,12.4083
16/01/2014,12.3900
17/01/2014,12.2807
20/01/2014,12.3681
21/01/2014,12.3787
22/01/2014,12.4365
23/01/2014,12.4485
24/01/2014,12.2994
27/01/2014,12.0484
28/01/2014,12.0052
29/01/2014,12.0157
30/01/2014,11.9289
31/01/2014,11.9753
03/02/2014,11.8188
04/02/2014,11.8115
05/02/2014,11.8454
06/02/2014,11.8664
07/02/2014,11.9189
10/02/2014,11.9054
11/02/2014,11.9197
12/02/2014,11.9555
13/02/2014,11.7966
14/02/2014,11.8899
17/02/2014,11.9403
18/02/2014,12.0424
20/02/2014,11.9717
21/02/2014,12.0899
24/02/2014,12.1472
25/02/2014,12.1769
26/02/2014,12.2520
28/02/2014,12.3274
03/03/2014,12.2196
04/03/2014,12.3704
05/03/2014,12.4287
06/03/2014,12.5723
07/03/2014,12.8226
10/03/2014,12.8451
11/03/2014,12.7987
12/03/2014,12.8071
13/03/2014,12.7587
14/03/2014,12.7760
18/03/2014,12.7993
19/03/2014,12.8162
20/03/2014,12.7355
21/03/2014,12.7521
24/03/2014,12.9296
25/03/2014,12.9424
26/03/2014,12.9665
27/03/2014,13.0532
28/03/2014,13.1615
02/04/2014,13.2722
03/04/2014,13.2390
04/04/2014,13.1575
07/04/2014,13.1608
09/04/2014,13.3588
10/04/2014,13.3590
11/04/2014,13.3191
15/04/2014,13.2328
16/04/2014,13.1183
17/04/2014,13.3226
21/04/2014,13.3979
22/04/2014,13.3937
23/04/2014,13.4424
25/04/2014,13.3295
28/04/2014,13.2872
29/04/2014,13.1970
30/04/2014,13.1584
02/05/2014,13.1548
05/05/2014,13.1620
06/05/2014,13.1930
